id,start_date,num_days,num_polled,poller,publication,p_Likud,p_Habayit_Hayehudi,p_Mahane_Tzioni,p_Yisrael_Beitenu,p_Yesh_Atid,p_Meretz,p_Shas,p_Yishai,p_Yahadut_Hatorah,p_Koolanu,p_Arabs,link,comment
0,2014-12-16,1,500,Panels,Knesset,22,15,22,9,10,7,4,4,7,10,10,,
1,2014-12-16,1,505,Dialog,Haaretz,21,16,21,8,11,6,4,3,8,12,10,http://www.haaretz.co.il/news/elections/.premium-1.2514917,
2,2014-12-17,1,500,Smith,Globes,23,16,23,9,8,6,8,2,7,9,11,,Num Unknown
3,2014-12-17,1,500,Panels,Maariv,21,16,23,8,10,7,4,4,7,10,10,,
4,2014-12-19,1,500,Smith,Reshet B,22,13,23,8,8,7,7,6,7,9,10,,Ariel+Yishai
5,2014-12-22,1,500,Panels,Knesset,21,16,23,7,11,7,5,4,7,9,10,,
6,2014-12-23,1,500,Dialog,Ch10,21,17,22,9,10,6,4,4,7,9,11,,
7,2014-12-24,1,500,Sarid,Ch2 Haolam Haboker,22,17,25,10,9,7,4,0,7,7,12,,secc12.pdf
8,2014-12-25,1,534,Panels,Maariv/Jpost,23,17,24,5,11,7,4,4,7,7,11,,
9,2014-12-25,1,503,Teleseker,Walla,24,15,23,10,9,6,4,4,5,10,10,,tns-2015-01-various.pdf / secc7.xls
10,2014-12-24,2,570,Smith,Reshet Bet,23,17,23,8,8,6,8,2.5,7,9,11,,smith-2014-12-24-kol-yisrael.pdf
11,2014-12-28,1,500,Midgam,Ch2,24,16,24,8,9,5,6,3,7,10,11,,midgam-2014-12-29-mako.pdf midgam-2014-12-28-mako.pdf
12,2014-12-30,1,500,Panels,Knesset,23,16,24,5,10,8,5,2.5,8,9,12,,
13,2014-12-30,1,500,Dialog,Ch10,21,17,23,7,9,6,5,4,7,10,11,,
14,2014-12-31,1,500,Smith,Globes,22,16,24,7,9,7,7,0,7,10,11,,
15,2015-01-01,1,500,Teleseker,Walla,26,16,23,7,9,7,6,0,7,8,11,,tns-2015-01-various.pdf / secc7.xls
16,2014-12-31,1,500,Maagar,Nrg/Makor Rishon,23,17,24,7,8,6,6,4,8,8,8,http://www.nrg.co.il/online/1/ART2/667/266.html,
17,2015-01-01,1,500,Smith,Reshet B,23,16,24,7,9,7,7,3,7,9,11,,smith-2015-01-01-kol-yisrael.pdf
18,2014-12-31,1,500,Panels,Galei Yisrael,24,16,23,6,10,6,6,0,8,9,12,,panels-2014-12-31-galey-yisrael.pdf
